Timestamp,Division,Team Number (of the team you're scouting),Team Name (same idea as above),Weight (lbs),Drivebase,Type of Swerve?,Drive Motors,Vibe Check! (of robot not people),Over/Under Bumper Ground Pickup,Comments?,Programming Language,Scoring Ability (in auto),Leave Zone Auto?,Comments (about auto),Camera Usage? (to assist drivers),Scoring Ability (in teleop),Scoring Preference (in teleop),Pickup Ability,Pickup Preference,Can they score in trap?,Can they get onstage (hang)?,Final Comments
4/17/2024 14:27:47,Milstein,5885,WiredCats,121,Swerve,MK4i,Neo,5,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Both,Ground,Ground,No,Yes,
4/17/2024 14:34:36,Milstein,5892,Energy heroes,91.4,Swerve,Sdsl2,Neo,3,Over-Bumper,,Java,Speaker,Yes,Have 5 not auto,Yes,Both,Speaker,Ground,Ground,No,Yes,"14 second hang, 10 second cycle"
4/17/2024 14:40:02,Milstein,6329,Dial,124.3,Swerve,MK4i,Kraken,4,Under-Bumper,,Pathplanner,Speaker,Yes,6 note auto,Yes,Both,Speaker,Ground,Ground,No,Yes,"10 second cycle, 1-2 hang time"
4/17/2024 14:42:19,Milstein,6413,Arnold,108,Swerve,MK4,Kraken,5,Both,,Java,Speaker,Yes,,Yes,Both,Both,Both,Ground,No,No,10 second cycle 
4/17/2024 14:46:27,Milstein,6459,robotik,56 kg,Swerve,MK4i,Kraken,5,Both,,Java,Both,Yes,,No,Both,Speaker,Both,Source,No,Yes,"No harmony, 5 or less second hang time, not known cycle time"
4/17/2024 14:50:01,Milstein,6586,Teskan vaudets,121,Tank,None,Neo,3,Under-Bumper,,Java,Speaker,Yes,,No,Both,Amp,Ground,Ground,No,Sometimes,"6-10 sec cycle time, new hang around 2 sec hang time"
4/17/2024 14:13:20,Milstein,6800,Valor,124.3,Swerve,Swerve X,Kraken,5,Under-Bumper,Front and Back intake,C++,Speaker,Yes,Has a 4.5 auto,Yes,Both,No preference,Ground,Ground,No,Yes,“Our robot is good” robot name flat line
4/17/2024 14:42:44,Milstein,6800,Valor,124.3,Swerve,Swerve X,Kraken,4,Under-Bumper,,C++,Speaker,Yes,,Yes,Both,No preference ,Both,No preference ,No,Yes,
4/17/2024 15:10:04,Milstein,6902,Strike,75,Tank,Not Swerve,CIM,3,Over-Bumper,,Java,None,Yes,,No,"None, shoot the notes in the team area",None,Both,Source,No,Yes,"Portuguese robot, recyclable materials "
4/17/2024 14:56:46,Milstein,7428,Gigawatts,123.7,Swerve,MK4i,Falcon,4,Under-Bumper,,Java,Speaker,Yes,1 note auto ,Yes,Both,Amp,Ground,Just ground ,No,Yes,Offset shooter
4/17/2024 14:50:56,Milstein,7472,Charger robotics,116,Swerve,MK4,Falcon,4,Under-Bumper,,C++,Speaker,Yes,4.5 note auto is MAX,Yes,Both,Speaker,Ground,Can’t pick up from source,No,Yes,
4/17/2024 14:59:58,Milstein,7763,Cooper roborics ,78.9,Swerve,Nei,Neo,4,Under-Bumper,,Java,Speaker,Yes,5 note auto max preferred 4,Yes,Both,Both depending on situation,Ground,Only ground ,No,No,
4/17/2024 14:23:17,Milstein,8019,Patriot engineering,117 132(with bumpers and battery),Swerve,MK4,Falcon,4,Over-Bumper,None,Java,Speaker,Yes,4 note auto,Yes,Both,Depends on strategy,Ground,Ground,No,Yes,None
4/17/2024 14:30:36,Milstein,8033,Highlander robots,124.1,Swerve,MK4i,Kraken,4,Under-Bumper,,Java,Speaker,Yes,3-5 note auto,Yes,Both,Depends on alliance,Ground,Ground,No,Yes,
4/17/2024 14:40:04,Milstein,8840,Bay Robotics,120,Swerve,MK4i,Neo,3,Over-Bumper,,Java,Speaker,Yes,,No,Both,Amp,Ground,Ground,No,No,
4/17/2024 16:20:28,Milstein,9431,Snider robotics,148.3,Tank,Not Swerve,CIM,3,No Ground Pickup,,C++,Speaker,Yes,One note auto and unmodified everybot,Yes,Both,No preference,Source,Source,No,Yes,Very powerful shooter
4/17/2024 14:40:09,Milstein,9452,Lhs steel stingers,124,Swerve,MK4i,Neo,3,Under-Bumper,,Java,Speaker,Yes,,No,Both,Speaker,Ground,Ground,No,Yes,
4/17/2024 14:45:43,Milstein,9458,Sesi Senai ,55kg,Swerve,MAXSwerve,Neo,3,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,DM,Both,Ground,No,Yes,
4/17/2024 15:31:11,Milstein,9483,Wilo Cats,45kg,Swerve,MK4i,Falcon,4,Over-Bumper,,Java,Both,Yes,,Yes,Both,Speaker,Ground,Ground,No,Yes,
4/17/2024 14:21:15,Milstein,9498,Zenshin Robotics,83.67 lbs,Tank,Not Swerve,Neo,3,Under-Bumper,From the back,Java,Speaker,Yes,Can shoot two in middle,No,Speaker,Speaker,Both,Ground,No,No,"Consistent, never broke, passer, not much drive practice since week 6"
4/17/2024 14:56:32,Milstein,9535,The Knack,140,Swerve,MK4i,Neo,4,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Amp,Ground,Ground,Yes,Yes,
4/17/2024 14:47:07,Milstein,9636,Space Junk,100,Swerve,Rev Neo,Neo,2,Under-Bumper,,Java,Amp,No,They have not finished it yet ,Yes,Amp,Amp,Ground,Ground,No,Sometimes,
4/17/2024 15:23:47,Milstein,9764,Maratime mauraders,94 eatsomated,Tank,Not Swerve,CIM,1,Under-Bumper,,Java,Speaker,Yes,2 note auto goal,No,Speaker,Speaker,Both,Ground,No,No,
4/17/2024 18:37:32,Milstein,6217,Bomb Botz,123,Swerve,MK4i,Neo,3,Under-Bumper,,Java,Speaker,Yes,4 note,Yes,Both,No,Ground,Ground,No,Yes,"10 notes cycle, cleaner bot"
4/17/2024 19:00:35,Galileo,876,Thunder robotics,116,Swerve,MK4,Kraken,3,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Ground,Ground,No,Yes,
4/17/2024 19:05:14,Galileo,6002,Zoobotics,97,Swerve,Don't know,Neo,4,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Amp,Ground,Ground,Yes,Yes,
